source,class,confidence,frame
webcam,scissors,0.8182,115
webcam,scissors,0.695,115
webcam,person,0.9699,116
webcam,scissors,0.7503,116
webcam,scissors,0.5121,116
webcam,toothbrush,0.4426,116
webcam,person,0.9691,117
webcam,scissors,0.7924,117
webcam,scissors,0.6801,117
webcam,person,0.9664,118
webcam,scissors,0.6181,118
webcam,toothbrush,0.2832,118
webcam,person,0.9534,119
webcam,person,0.9638,120
webcam,person,0.9645,121
webcam,person,0.967,122
webcam,person,0.9682,123
webcam,person,0.9687,124
webcam,person,0.9717,125
webcam,person,0.972,126
webcam,person,0.972,127
webcam,person,0.9716,128
webcam,person,0.9718,129
webcam,person,0.9721,130
webcam,person,0.9714,131
webcam,person,0.9726,132
webcam,person,0.9723,133
webcam,person,0.9714,134
webcam,person,0.9707,135
webcam,person,0.9679,136
webcam,person,0.969,137
webcam,person,0.9674,138
webcam,person,0.9684,139
webcam,person,0.9678,140
webcam,person,0.9686,141
webcam,person,0.9681,142
webcam,person,0.969,143
webcam,person,0.9696,144
webcam,person,0.9698,145
webcam,person,0.9689,146
webcam,person,0.9705,147
webcam,person,0.9691,148
webcam,person,0.969,149
webcam,person,0.9686,150
webcam,person,0.9692,151
webcam,person,0.9694,152
webcam,person,0.9695,153
webcam,person,0.9696,154
webcam,person,0.9702,155
webcam,person,0.969,156
webcam,person,0.9698,157
webcam,person,0.9679,158
webcam,person,0.968,159
webcam,person,0.968,160
webcam,person,0.9692,161
webcam,person,0.9696,162
webcam,person,0.9695,163
webcam,person,0.9697,164
webcam,person,0.9697,165
webcam,person,0.9701,166
webcam,person,0.9708,167
webcam,person,0.9697,168
webcam,person,0.9709,169
webcam,person,0.9701,170
webcam,person,0.9685,171
webcam,person,0.9692,172
webcam,person,0.9685,173
webcam,person,0.9691,174
webcam,person,0.9681,175
webcam,person,0.9685,176
webcam,person,0.9659,177
webcam,person,0.9637,178
webcam,person,0.9629,179
webcam,person,0.9469,180
webcam,toothbrush,0.294,180
webcam,remote,0.2821,180
webcam,person,0.9565,181
webcam,wine glass,0.4538,181
webcam,person,0.9381,182
webcam,person,0.9428,183
webcam,cell phone,0.4052,183
webcam,person,0.9478,184
webcam,cell phone,0.6492,184
webcam,person,0.9338,185
webcam,cell phone,0.6046,185
webcam,person,0.935,186
webcam,cell phone,0.5176,186
webcam,person,0.8424,187
webcam,person,0.4355,187
webcam,person,0.8887,188
webcam,person,0.6013,188
webcam,person,0.9485,189
webcam,person,0.869,189
webcam,person,0.9501,190
webcam,person,0.8365,190
webcam,person,0.9178,191
webcam,person,0.8112,191
webcam,person,0.9343,192
webcam,person,0.7637,192
webcam,person,0.9471,193
webcam,person,0.8067,193
webcam,person,0.9332,194
webcam,person,0.8807,194
webcam,cell phone,0.405,194
webcam,person,0.9475,195
webcam,person,0.8836,195
webcam,cell phone,0.2744,195
webcam,person,0.945,196
webcam,person,0.8904,196
webcam,cell phone,0.3663,196
webcam,person,0.9181,197
webcam,person,0.8826,197
webcam,cell phone,0.3274,197
webcam,person,0.9296,198
webcam,person,0.8924,198
webcam,person,0.9338,199
webcam,person,0.8985,199
webcam,cell phone,0.2924,199
webcam,person,0.9358,200
webcam,person,0.8629,200
webcam,person,0.8792,201
webcam,person,0.7451,201
webcam,person,0.9001,202
webcam,person,0.8337,202
webcam,person,0.9265,203
webcam,person,0.8552,203
webcam,cell phone,0.46,203
webcam,person,0.8888,204
webcam,person,0.6804,204
webcam,person,0.9063,205
webcam,person,0.673,205
webcam,cell phone,0.342,205
webcam,person,0.9129,206
webcam,person,0.838,206
webcam,cell phone,0.2843,206
webcam,person,0.9075,207
webcam,person,0.8478,207
webcam,person,0.9231,208
webcam,person,0.8847,208
webcam,cell phone,0.3328,208
webcam,person,0.9171,209
webcam,person,0.8674,209
webcam,person,0.8998,210
webcam,person,0.7981,210
webcam,person,0.9133,211
webcam,person,0.5327,211
webcam,person,0.8996,212
webcam,person,0.5744,212
webcam,person,0.8942,213
webcam,person,0.659,213
webcam,person,0.8829,214
webcam,person,0.6997,214
webcam,hair drier,0.2981,214
webcam,person,0.8937,215
webcam,person,0.5193,215
webcam,person,0.9103,216
webcam,person,0.4555,216
webcam,person,0.8702,217
webcam,person,0.7342,217
webcam,hair drier,0.2845,217
webcam,person,0.9304,218
webcam,cell phone,0.4901,218
webcam,person,0.3213,218
webcam,person,0.9067,219
webcam,person,0.7642,219
webcam,person,0.9045,220
webcam,person,0.7556,220
webcam,person,0.8809,221
webcam,person,0.7635,221
webcam,person,0.9346,222
webcam,cell phone,0.2688,222
webcam,person,0.9264,223
webcam,person,0.8788,224
webcam,person,0.7148,224
webcam,person,0.9227,225
webcam,person,0.5183,225
webcam,person,0.8976,226
webcam,person,0.6252,226
webcam,person,0.9314,227
webcam,person,0.4838,227
webcam,person,0.9038,228
webcam,person,0.4954,228
webcam,person,0.9059,229
webcam,person,0.602,229
webcam,person,0.9182,230
webcam,person,0.3752,230
webcam,cell phone,0.2644,230
webcam,person,0.9091,231
webcam,person,0.5472,231
webcam,person,0.9282,232
webcam,person,0.4403,232
webcam,person,0.8952,233
webcam,person,0.804,233
webcam,hair drier,0.3249,233
